team_id,team_name,club,event_age,gender,division,bracket,rating,flag,target_division,reason
65155,Fever United 15B C. Smith,Fever United,U11,m,Silver II,Bracket B,,ranking-uncertain,,No ranking available
490220,Atletico Dallas Youth Pre ECNL G15- Perez,Atletico Dallas Youth,U12,f,11v11 Silver,Bracket A,1464.28,move-down,9v9 Bronze,Rating 1464 ≤ median of 9v9 Bronze (1478)
624292,BVB IA 18B Black East Solares,BVB International Academy Texas,U8,m,7v7 18s Silver,Bracket B,1452.15,ranking-uncertain,,Only 0 games in last 365d
518001,BC Elite 10/11G,BC Elite,U16,f,HS 1,Bracket A,,ranking-uncertain,,No ranking available
496328,North Texas Elite 19B Pina,North Texas Elite SC,U7,m,Gold 4v4,Bracket A,1491.36,ranking-uncertain,,Only 0 games in last 365d
296025,Coppell Youth SA LIGHTNING,Coppell Youth SA,U9,m,7v7 Recreational,Bracket A,,ranking-uncertain,,No ranking available
647375,Nido Águila 14G Gonzalez,Club America - Tarrant County,U12,f,9v9 Bronze II,Bracket B,,ranking-uncertain,,No ranking available
210400,Solar ECNL RL 13B Tremblay,Solar SC,U13,m,11v11 Gold,Bracket A,,ranking-uncertain,,No ranking available
523070,ULETE FC 16B Rab,Ulete FC,U10,m,,,,ranking-uncertain,,No ranking available
127797,Dallas Legacy 12G Olguin,Dallas Legacy,U14,f,11v11 Silver,Bracket A,,ranking-uncertain,,No ranking available
352970,BVB 15B PreECNL Elite (Klassen),BVB International Academy Texas,U11,m,DS 9v9 Silver Elite,Bracket A,,ranking-uncertain,,No ranking available
209632,NTX Celtic 16B Del Olmo,NTX Celtic FC,U10,m,9v9 Gold,Bracket A,,ranking-uncertain,,No ranking available
646561,Southside Soccer 14B Black,Southside Soccer,U12,m,9v9 Silver Crossover,Bracket A,,ranking-uncertain,,No ranking available
274348,Kernow Storm FC G13 API Lynch,Kernow Storm FC,U13,f,11v11 Bronze,Bracket A,1485.46,ranking-uncertain,,Only 0 games in last 365d
661076,NTX United FC 2018B Balleza,NTX United FC,U8,m,4v4 Bronze,Bracket A,,ranking-uncertain,,No ranking available
452126,BVB 18B Puma (DeSousa),BVB International Academy Texas,U8,m,7v7 18s Silver,Bracket A,1541.83,ranking-uncertain,,Only 0 games in last 365d
544815,Athens Futbol Club - 12B Aguilar,Athens Futbol Club,U14,m,11v11 Silver,Bracket A,,ranking-uncertain,,No ranking available
577503,FC Dallas Youth 16B Palmisano,FC Dallas Youth,U10,m,9v9 16s Silver,Bracket A,,ranking-uncertain,,No ranking available
620522,DKSC 16B RAMOS,DKSC,U10,m,9v9 16s Silver,Bracket A,,ranking-uncertain,,No ranking available
411364,FC Strikers 11B,Strikers FC( Texas),U15,m,DS Silver,Bracket B,,ranking-uncertain,,No ranking available
338205,Juventus Premier FC 14G Black Cantu,Juventus Premier Futbol Club,U12,f,11v11 Silver,Bracket A,1489.01,ranking-uncertain,,Only 0 games in last 365d
363837,OK Energy FC 13G ECRL2,Oklahoma Energy FC,U13,f,11v11 Silver,Bracket A,,ranking-uncertain,,No ranking available
385563,NTX United FC 2010B Costello,NTX United FC,U16,m,DS Bronze Crossover,Bracket A,,ranking-uncertain,,No ranking available
480477,Atletico Dallas Youth 15G Welge,Atletico Dallas Youth,U11,f,9v9 DS Gold,Bracket B,,ranking-uncertain,,No ranking available
263642,FC Dallas Youth Pre ECNL G16 Webb,FC Dallas Youth,U10,f,9v9 DS Gold,Bracket A,1499.73,ranking-uncertain,,Only 0 games in last 365d
206219,Sting Pre-ECNL G14 Kovacevic,Sting Soccer Club,U12,f,11v11 DS Gold,Bracket A,1615.42,ranking-uncertain,,Only 0 games in last 365d
450608,Sting Attack G13 H Pantoja,Sting Soccer Club,U13,f,11v11 Bronze,Bracket B,1436.71,ranking-uncertain,,Only 0 games in last 365d
515832,Texoma FC 2011 Boys Red,Texoma Football Club,U15,m,DS Silver Elite,Bracket A,,ranking-uncertain,,No ranking available
120385,TEXAS UNITED AC 11B ALDAMA,Texas United AC,U15,m,DS Silver Elite,Bracket A,,ranking-uncertain,,No ranking available
468764,Sting B17 Lucero,Sting Soccer Club,U10,m,9v9 17s,Bracket B,1624.15,ranking-uncertain,,Only 0 games in last 365d
691814,Atletico Dallas Youth 17G South Gray,Atletico Dallas Youth,U9,f,7v7 Bronze II Crossover,Bracket A,1426.43,ranking-uncertain,,Only 3 games in last 365d
88917,Solar ECNL RL-NTX 11B Red,Solar SC,U15,m,DS Silver,Bracket A,,ranking-uncertain,,No ranking available
122423,NTX Celtic 13B High,NTX Celtic FC,U13,m,11v11 Bronze Crossover,Bracket B,,ranking-uncertain,,No ranking available
512002,Fort Worth Vaqueros FC 15 Alonzo,Fort Worth Vaqueros FC,U11,m,9v9 Bronze II,Bracket B,,ranking-uncertain,,No ranking available
438739,Texas Warriors FC 2017G,Texas Warriors FC,U9,f,7v7 Bronze II Crossover,Bracket B,1435.47,ranking-uncertain,,Only 0 games in last 365d
642320,Solar South 19G Guzman,Solar SC,U7,f,4v4 2019s,Bracket A,,ranking-uncertain,,No ranking available
614141,ISW Academy 16 Oviedo,ISW Academy,U10,m,,,1468.28,ranking-uncertain,,Only 0 games in last 365d
120670,OTIS F.C,Otis FC,U17,m,Bracket B,Bracket A,,ranking-uncertain,,No ranking available
625861,Dallas Surf 17B North Black,Dallas Surf,U9,m,7v7 Bronze Crossover,Bracket B,1491.30,ranking-uncertain,,Only 4 games in last 365d
404872,Chili Peppers 18G,GLASA,U8,f,4v4 Recreational,Bracket A,,ranking-uncertain,,No ranking available
625826,Dallas Surf 2013B NL TX-N,Dallas Surf,U13,m,11v11 Bronze II,Bracket B,,ranking-uncertain,,No ranking available
475356,North Texas Elite 2015G Pina,North Texas Elite SC,U11,f,9v9 Silver,Bracket A,,ranking-uncertain,,No ranking available
387583,Sting Pre ECNL B16 Lucero,Sting Soccer Club,U11,m,DS 9v9 Silver Elite,Bracket A,1600.99,ranking-uncertain,,Only 0 games in last 365d
639034,Atletico Dallas Youth Central 18B White,Atletico Dallas Youth,U8,m,7v7 Bronze,Bracket A,1456.99,ranking-uncertain,,Only 0 games in last 365d
625812,Dallas Surf 12B Blue,Dallas Surf,U14,m,11v11 Bronze II,Bracket B,,ranking-uncertain,,No ranking available
380066,Solar South 17G Guzman,Solar SC,U10,f,9v9 17s,Bracket A,1483.95,ranking-uncertain,,Only 0 games in last 365d
590352,FC Dallas Youth 17B Central Mata,FC Dallas Youth,U9,m,7v7 Silver,Bracket A,1538.97,move-up,18s,Rating 1539 ≥ median of 18s (1523)
686296,FC Dallas Youth 18B Mata Central,FC Dallas Youth,U8,m,4v4 Silver,Bracket A,1500.96,ranking-uncertain,,Only 0 games in last 365d
91775,Fever United 14G Wright,Fever United,U12,f,9v9 Bronze II,Bracket B,,ranking-uncertain,,No ranking available
209911,GLASA Scorpions 12B,GLASA,U14,m,11v11 Bronze II,Bracket A,1441.26,ranking-uncertain,,Only 4 games in last 365d
242929,Sting Pre-ECNL G14 H Martinez,Sting Soccer Club,U12,f,11v11 DS Gold,Bracket A,1543.13,ranking-uncertain,,Only 0 games in last 365d
582485,GLASA Goal Getters 18B,GLASA,U8,m,4v4 Bronze,Bracket B,,ranking-uncertain,,No ranking available
396557,Fever United 12B (Prev. Nido Águila Tarrant 12B Tovar),Fever United,U14,m,11v11 Bronze,Bracket C,,ranking-uncertain,,No ranking available
299334,Dallas Texans 2018 Girls Dallas,Dallas Texans,U8,f,Dallas Showcase Super Group 7v7 18s,Bracket B,1466.02,ranking-uncertain,,Only 3 games in last 365d
124196,Pinnacle Soccer Academy 16B,Independent Teams - NTX,U10,m,9v9 Bronze II Crossover,Bracket C,,ranking-uncertain,,No ranking available
205965,TAG 16B Black,TAG Soccer,U10,m,9v9 Bronze,Bracket A,,ranking-uncertain,,No ranking available
261287,Texas Spurs FC 13B,Texas Spurs,U13,m,11v11 Silver,Bracket A,,ranking-uncertain,,No ranking available
385588,Solar 14B Jenkins,Solar SC,U13,m,11v11 Silver 14s,Bracket A,1566.42,ranking-uncertain,,Only 0 games in last 365d
534498,Solar 18G Jenkins,Solar SC,U8,f,Dallas Showcase Super Group 7v7 18s,Bracket B,1439.14,ranking-uncertain,,Only 0 games in last 365d
640564,ULETE FC 17G Josh,Ulete FC,U9,f,7v7 Silver,Bracket A,1498.08,ranking-uncertain,,Only 3 games in last 365d
651878,ULETE FC 18G Jasmine,Ulete FC,U8,f,4v4 Bronze,Bracket A,1463.15,ranking-uncertain,,Only 0 games in last 365d
